epoch,sample_point,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,cuda_util_pct,cuda_mem_util_pct,gpu_temp_c,gpu_power_w,gpu_clock_sm_mhz,gpu_clock_mem_mhz,gpu_fan_pct,gpu_throttled,cpu_pct,ram_used_gb,disk_read_mb_s,disk_write_mb_s,nvsmi_vram_used_gb,cuda_util_pct_min,cuda_util_pct_avg,cuda_util_pct_max,cuda_mem_util_pct_min,cuda_mem_util_pct_avg,cuda_mem_util_pct_max,gpu_temp_c_min,gpu_temp_c_avg,gpu_temp_c_max,gpu_power_w_min,gpu_power_w_avg,gpu_power_w_max,gpu_clock_sm_mhz_avg,gpu_clock_mem_mhz_avg,gpu_fan_pct_avg,gpu_throttled_any,cpu_pct_min,cpu_pct_avg,cpu_pct_max,ram_used_gb_min,ram_used_gb_avg,ram_used_gb_max,ram_total_gb,disk_read_mb_s_min,disk_read_mb_s_avg,disk_read_mb_s_max,disk_write_mb_s_min,disk_write_mb_s_avg,disk_write_mb_s_max,vram_peak_alloc_gb,vram_peak_reserved_gb,nvsmi_vram_used_gb_min,nvsmi_vram_used_gb_avg,nvsmi_vram_used_gb_max,nvsmi_vram_total_gb,data_wait_s,compute_s
16,1,,,,,,,2,2,43,30.3,615,5001,30,0,58.6,29.81,0.0,0.54,1.982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2,,,,,,,2,2,43,30.3,615,5001,30,0,16.6,29.82,0.0,0.3,1.981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,summary,0.443158,0.870908,0.472281,0.851454,0.00389688,3.2,,,,,,,,,,,,,,2,2.0,2,2,2.0,2,43,43.0,43,30.3,30.3,30.3,615.0,5001.0,30.0,0,16.6,37.6,58.6,29.81,29.81,29.82,63.16,0.0,0.0,0.0,0.3,0.42,0.54,8.281,13.705,1.981,1.98,1.982,15.992,2.01,0.28
17,1,,,,,,,2,3,42,33.1,570,5001,30,0,54.9,29.83,0.0,0.87,1.974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2,,,,,,,96,22,43,31.2,825,5001,30,0,10.7,29.8,0.0,0.07,1.974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,summary,0.439726,0.871997,0.393517,0.900506,0.00387458,3.3,,,,,,,,,,,,,,2,49.0,96,3,12.5,22,42,42.5,43,31.2,32.15,33.1,697.5,5001.0,30.0,0,10.7,32.8,54.9,29.8,29.81,29.83,63.16,0.0,0.0,0.0,0.07,0.47,0.87,8.281,13.705,1.974,1.97,1.974,15.992,2.06,0.35
18,1,,,,,,,3,3,42,31.2,435,5001,30,0,54.9,29.8,0.13,1.76,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2,,,,,,,94,29,44,34.5,750,5001,30,0,7.1,29.8,0.0,0.0,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,summary,0.424410,0.882588,0.429121,0.878096,0.00385017,3.5,,,,,,,,,,,,,,3,48.5,94,3,16.0,29,42,43.0,44,31.2,32.85,34.5,592.5,5001.0,30.0,0,7.1,31.0,54.9,29.8,29.8,29.8,63.16,0.0,0.07,0.13,0.0,0.88,1.76,8.281,13.705,1.94,1.94,1.94,15.992,2.08,0.37
19,1,,,,,,,3,3,42,28.5,450,5001,30,0,53.9,29.79,0.0,2.13,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2,,,,,,,95,23,45,34.5,2565,10801,30,0,8.4,29.81,0.0,0.06,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,summary,0.419053,0.885697,0.510086,0.832859,0.00382369,3.3,,,,,,,,,,,,,,3,49.0,95,3,13.0,23,42,43.5,45,28.5,31.5,34.5,1507.5,7901.0,30.0,0,8.4,31.15,53.9,29.79,29.8,29.81,63.16,0.0,0.0,0.0,0.06,1.09,2.13,8.281,13.705,1.94,1.94,1.94,15.992,2.07,0.36
20,1,,,,,,,4,3,42,29.3,450,5001,30,0,55.7,29.81,0.09,2.52,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2,,,,,,,4,3,42,29.3,450,5001,30,0,17.3,29.8,0.0,0.0,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,summary,0.410386,0.889726,0.390549,0.898911,0.00379515,3.4,,,,,,,,,,,,,,4,4.0,4,3,3.0,3,42,42.0,42,29.3,29.3,29.3,450.0,5001.0,30.0,0,17.3,36.5,55.7,29.8,29.8,29.81,63.16,0.0,0.04,0.09,0.0,1.26,2.52,8.281,13.705,1.94,1.94,1.94,15.992,2.11,0.35
21,1,,,,,,,2,3,42,35.0,495,5001,30,0,54.9,29.78,0.01,0.69,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
